id,key,value,type
30037235,highway,traffic_signals,regular
30037236,highway,traffic_signals,regular
30037239,highway,traffic_signals,regular
30037240,highway,traffic_signals,regular
30037241,highway,traffic_signals,regular
30037243,highway,traffic_signals,regular
30037244,highway,traffic_signals,regular
30037246,highway,traffic_signals,regular
30037247,highway,traffic_signals,regular
30037248,highway,traffic_signals,regular
30037250,highway,traffic_signals,regular
30037255,highway,traffic_signals,regular
30037256,highway,traffic_signals,regular
30037398,highway,traffic_signals,regular
30037723,highway,traffic_signals,regular
30037877,highway,traffic_signals,regular
30037880,highway,traffic_signals,regular
30037891,highway,traffic_signals,regular
30037899,highway,traffic_signals,regular
30037904,highway,traffic_signals,regular
30038738,name,Vadapalani Signal,regular
30038738,highway,traffic_signals,regular
30051246,name,Alwarpet,regular
30051246,highway,traffic_signals,regular
30051246,ta,ஆழ்வார் பேட்டை,name
30051247,highway,traffic_signals,regular
30051249,highway,traffic_signals,regular
30051287,highway,traffic_signals,regular
30051698,highway,traffic_signals,regular
30237379,highway,traffic_signals,regular
30237381,highway,traffic_signals,regular
30237399,highway,traffic_signals,regular
30237413,highway,traffic_signals,regular
30268341,highway,traffic_signals,regular
30268342,highway,traffic_signals,regular
30268463,highway,traffic_signals,regular
30268467,highway,traffic_signals,regular
186741970,name,Sterling Road Junction,regular
186741970,highway,traffic_signals,regular
186741970,junction,yes,regular
243041570,ref,MPKT:1;2,regular
243041570,public_transport,stop_position,regular
243041583,ref,MCPT,regular
243041583,name,Chintadripet,regular
243041583,ta,சிந்தாதிரிப்பேட்டை,name
243041583,network,MRTS,regular
243041583,railway,station,regular
243041583,operator,Southern Railways,regular
243041583,wikidata,Q5101294,regular
243041583,wikipedia,en:Chintadripet railway station,regular
243041609,public_transport,stop_position,regular
243041677,ref,GWYR,regular
243041677,name,Greenways Road,regular
243041677,network,MRTS,regular
243041677,railway,station,regular
243041677,operator,Southern Railways,regular
243041677,wikidata,Q15222131,regular
243041677,wikipedia,en:Greenways Road railway station,regular
243041687,ref,KPTM,regular
243041687,name,Kotturpuram,regular
243041687,ta,கோட்டூர்புரம்,name
243041687,network,MRTS,regular
243041687,railway,station,regular
243041687,operator,Southern Railways,regular
243041687,wikidata,Q6434367,regular
243041687,wikipedia,en:Kotturpuram railway station,regular
243041698,ref,INDR,regular
243041698,name,Indira Nagar,regular
243041698,ta,இந்திரா நகர்,name
243041698,network,MRTS,regular
243041698,railway,station,regular
243041698,operator,Southern Railways,regular
243041698,wikidata,Q6025052,regular
243041698,wikipedia,en:Indira Nagar railway station,regular
243041721,ref,TRMN,regular
243041721,name,Taramani,regular
243041721,ta,தரமணி,name
243041721,network,MRTS,regular
243041721,railway,station,regular
243041721,operator,Southern Railways,regular
243041721,wikidata,Q7685362,regular
243041721,wikipedia,en:Taramani railway station,regular
243048056,barrier,gate,regular
243048886,highway,traffic_signals,regular
243051703,highway,traffic_signals,regular
243051718,highway,traffic_signals,regular
243053506,name,Alwarpet,regular
243053506,is_in,Chennai,regular
243053506,place,suburb,regular
243053506,ta,ஆழ்வார்பேட்டை,name
243053506,wikidata,Q4738371,regular
243053506,postal_code,600018,regular
243059228,name,Teynampet,regular
243059228,is_in,Chennai,regular
243059228,place,suburb,regular
243059228,ta,தேனாம்பேட்டை,name
243059228,wikidata,Q7708590,regular
243059228,created_by,Potlatch 0.10f,regular
243059957,name,Gopalapuram,regular
243059957,is_in,Chennai,regular
243059957,place,suburb,regular
243059957,ta,கோபாலபுரம்,name
243059957,wikidata,Q5584218,regular
243059957,created_by,Potlatch 0.10f,regular
243059957,postal_code,600086,regular
243060007,name,நந்தனம்,regular
243060007,is_in,Chennai,regular
243060007,place,suburb,regular
243060007,en,Nandanam,name
243060007,ta,நந்தனம்,name
243060007,wikidata,Q15260933,regular
243060007,postal_code,600035,regular
243060039,name,Raja Annamalai Puram,regular
243060039,is_in,Chennai,regular
243060039,place,suburb,regular
243060039,ta,இராஜா அண்ணாமலைபுரம்,name
243060039,wikidata,Q24939845,regular
243060039,postal_code,600028,regular
243060101,name,Abhiramapuram,regular
243060101,is_in,Chennai,regular
243060101,place,suburb,regular
243060101,ta,அபிராமபுரம்,name
243060101,postal_code,600018,regular
243060332,name,Mylapore Bus Terminus,regular
243060332,amenity,bus_station,regular
243060332,created_by,Potlatch 0.10f,regular
243060531,name,CIT Colony,regular
243060531,is_in,Alwarpet,regular
243060531,place,neighbourhood,regular
243060531,ta,சி ஐ டி காலனி,name
243064548,highway,traffic_signals,regular
243064556,highway,traffic_signals,regular
243064600,highway,traffic_signals,regular
243065468,highway,traffic_signals,regular
243066060,highway,traffic_signals,regular
243066455,highway,traffic_signals,regular
243323035,highway,traffic_signals,regular
243323507,highway,traffic_signals,regular
245579177,highway,traffic_signals,regular
246554393,name,San Thome Basilica,regular
246554393,amenity,place_of_worship,regular
246554393,religion,christian,regular
246554393,wikidata,Q733577,regular
246554393,denomination,roman_catholic,regular
246823992,highway,traffic_signals,regular
246824741,highway,traffic_signals,regular
246825437,highway,traffic_signals,regular
246866326,name,Thiruvanmiyur Moffusil bus stop,regular
246866326,highway,bus_stop,regular
246866721,highway,traffic_signals,regular
246866976,highway,traffic_signals,regular
247074857,highway,traffic_signals,regular
247074863,highway,traffic_signals,regular
247435500,highway,traffic_signals,regular
247437502,name,High Court Bus Terminus,regular
247437502,amenity,bus_station,regular
247437516,name,Central Station Bus Stop,regular
247437516,amenity,bus_station,regular
247437529,highway,traffic_signals,regular
247437537,highway,traffic_signals,regular
247438022,highway,traffic_signals,regular
247438035,highway,mini_roundabout,regular
247438428,highway,traffic_signals,regular
247458614,highway,traffic_signals,regular
247677540,name,Mylapore,regular
247677540,is_in,Chennai,regular
247677540,place,suburb,regular
247677540,ta,மயிலாப்பூர்,name
247677540,wikidata,Q1646915,regular
247677540,wikipedia,en:Mylapore,regular
247677647,name,Mandaveli,regular
247677647,is_in,Chennai,regular
247677647,place,suburb,regular
247677647,wikidata,Q6747920,regular
247677647,wikipedia,en:Mandavelli,regular
247677647,postal_code,600028,regular
247677936,name,Foreshore Estate MTC Terminus,regular
247677936,amenity,bus_station,regular
247677936,created_by,Potlatch 0.7a,regular
247678330,ref,MNDY,regular
247678330,name,Mandaveli,regular
247678330,network,MRTS,regular
247678330,railway,station,regular
247678330,operator,Southern Railways,regular
247678330,wikidata,Q6747921,regular
247678330,wikipedia,en:Mandaveli railway station,regular
247678427,ref,MTMY,regular
247678427,name,Thirumayliai,regular
247678427,network,MRTS,regular
247678427,railway,station,regular
247678427,operator,Southern Railways,regular
247678485,public_transport,stop_position,regular
247678486,ref,MLHS,regular
247678486,name,Lighthouse,regular
247678486,ta,கலங்கரை விளக்கம்,name
247678486,network,MRTS,regular
247678486,railway,station,regular
247678486,operator,Southern Railways,regular
247678486,wikidata,Q6546029,regular
247678486,wikipedia,en:Light House railway station,regular
247678612,ref,MAS,regular
247678612,public_transport,stop_position,regular
247678829,public_transport,stop_position,regular
247678922,public_transport,stop_position,regular
247679286,railway,buffer_stop,regular
247681415,highway,traffic_signals,regular
247681990,highway,traffic_signals,regular
247684417,highway,traffic_signals,regular
247685518,highway,traffic_signals,regular
247686093,highway,traffic_signals,regular
247686096,highway,traffic_signals,regular
247688953,name,Mahalingapuram,regular
247688953,is_in,Nungambakkam,regular
247688953,place,neighbourhood,regular
247688962,name,Nungambakkam,regular
247688962,is_in,Chennai,regular
247688962,place,suburb,regular
247688962,ta,நுங்கம்பாக்கம்,name
247688962,wikidata,Q4615048,regular
247689032,name,Kodambakkam,regular
247689032,is_in,Chennai,regular
247689032,place,suburb,regular
247689032,ta,கோடம்பாக்கம்,name
247689032,wikidata,Q3429215,regular
247689032,created_by,Potlatch 0.10f,regular
247689032,postal_code,600024,regular
247689098,name,Ashok Nagar,regular
247689098,is_in,Chennai,regular
247689098,place,suburb,regular
247689098,ta,அஷோக் நகர்,name
247689098,wikidata,Q2992462,regular
247689106,name,Saidapet,regular
247689106,is_in,Chennai,regular
247689106,place,suburb,regular
247689106,ta,சைதாப்பேட்டை,name
247689106,wikidata,Q3166683,regular
247689106,postal_code,600015,regular
247689703,name,East Abhiramapuram,regular
247689703,is_in,Abhiramapuram,regular
247689703,place,neighbourhood,regular
247689726,key,600004,regular
247689726,name,Santhome,regular
247689726,is_in,Chennai,regular
247689726,place,suburb,regular
247689726,ta,சாந்தோம்,name
247689726,wikidata,Q3530204,regular
247689726,wikipedia,en:Santhome,regular
247689739,name,Royapettah,regular
247689739,is_in,Chennai,regular
247689739,place,suburb,regular
247689739,ta,ராயப்பேட்டை,name
247689739,wikidata,Q7375146,regular
247689739,postal_code,600014,regular
247689792,name,Triplicane,regular
247689792,is_in,Chennai,regular
247689792,place,suburb,regular
247689792,ta,திருவல்லிக்கேணி,name
247689792,wikidata,Q2454031,regular
247689792,postal_code,600005,regular
247689799,name,Thousand Lights,regular
247689799,is_in,Chennai,regular
247689799,place,suburb,regular
247689799,ta,ஆயிரம் விளக்கு,name
247689838,name,Pudupet,regular
247689838,is_in,Egmore,regular
247689838,place,neighbourhood,regular
247689846,name,Egmore,regular
247689846,is_in,Chennai,regular
247689846,place,suburb,regular
247689846,ta,எழும்பூர்,name
247689846,wikidata,Q2856467,regular
247689846,wikipedia,en:Egmore,regular
247689931,name,Island Grounds,regular
247689931,is_in,Chennai,regular
247689931,place,suburb,regular
247689931,created_by,Potlatch 0.7a,regular
247690296,name,Chepauk,regular
247690296,is_in,Chennai,regular
247690296,place,neighbourhood,regular
247690296,ta,சேப்பாக்கம்,name
247690296,wikidata,Q1070155,regular
247691507,name,Anna Square MTC Terminus,regular
247691507,amenity,bus_station,regular
247691544,name,V House Bus Terminus,regular
247691544,amenity,bus_station,regular
247691544,created_by,Potlatch 0.7a,regular
247692589,highway,traffic_signals,regular
247706015,name,MGR Memorial,regular
247706015,tourism,attraction,regular
247706015,wikidata,Q6715769,regular
247706015,created_by,Potlatch 0.10f,regular
247714664,highway,traffic_signals,regular
247714664,crossing,uncontrolled,regular
247714665,highway,traffic_signals,regular
247714665,crossing,uncontrolled,regular
247714665,junction,yes,regular
247714671,traffic_calming,bump,regular
247714672,highway,traffic_signals,regular
247714672,junction,yes,regular
247874939,created_by,JOSM,regular
247874963,created_by,JOSM,regular
247973381,highway,traffic_signals,regular
247974345,highway,traffic_signals,regular
247975048,name,Chetpet,regular
247975048,is_in,Chennai,regular
247975048,place,suburb,regular
247975048,created_by,Potlatch 0.7b,regular
247975147,name,Choolaimedu,regular
247975147,is_in,Chennai,regular
247975147,place,suburb,regular
247975147,ta,சூளைமேடு,name
247975147,wikidata,Q3006619,regular
248196797,name,MRC Nagar,regular
248196797,is_in,Chennai,regular
248196797,place,suburb,regular
248332912,highway,traffic_signals,regular
248333497,highway,traffic_signals,regular
248333952,highway,traffic_signals,regular
248343706,name,HP,regular
248343706,amenity,fuel,regular
248343706,created_by,Potlatch 0.7b,regular
248343893,name,IOC,regular
248343893,amenity,fuel,regular
248343893,created_by,Potlatch 0.10f,regular
248344281,name,BP,regular
248344281,amenity,fuel,regular
248344281,created_by,Potlatch 0.7b,regular
248420920,name,Kalaignar Karunanidhi Nagar,regular
248420920,is_in,Chennai,regular
248420920,place,suburb,regular
248420920,ta,கலைஞர் கருணாநிதி நகர்,name
248420921,name,Saligramam,regular
248420921,is_in,Chennai,regular
248420921,place,suburb,regular
248420921,ta,சாலிகிராமம்,name
248420921,wikidata,Q7404488,regular
248467412,ref,MSC,regular
248467412,name,Chetpet,regular
248467412,ta,சேத்துப்பட்டு,name
248467412,railway,station,regular
248467426,created_by,JOSM,regular
248467432,ref,MKK,regular
248467432,name,Kodambakkam,regular
248467432,public_transport,stop_position,regular
248467445,highway,traffic_signals,regular
248467453,created_by,JOSM,regular
248467534,highway,traffic_signals,regular
248467713,created_by,JOSM,regular
248467715,created_by,JOSM,regular
248467737,highway,mini_roundabout,regular
248467811,created_by,JOSM,regular
248467883,railway,buffer_stop,regular
248468897,created_by,JOSM,regular
248468902,created_by,JOSM,regular
248468905,created_by,JOSM,regular
248545141,ref,PER,regular
248545141,public_transport,stop_position,regular
248551221,barrier,gate,regular
248551222,barrier,gate,regular
248551226,highway,traffic_signals,regular
248551256,created_by,JOSM,regular
248559397,name,Koyambedu,regular
248559397,is_in,Chennai,regular
248559397,amenity,clinic,regular
248559479,name,Aminjikarai,regular
248559479,is_in,Chennai,regular
248559479,place,suburb,regular
248559479,ta,அமைந்தக்கரை,name
248559479,wikidata,Q4746424,regular
248559495,name,Arumbakkam,regular
248559495,is_in,Chennai,regular
248559495,place,suburb,regular
248559495,ta,அரும்பாக்கம்,name
248559495,wikidata,Q3006626,regular
248559557,name,Anna Nagar,regular
248559557,is_in,Chennai,regular
248559557,place,suburb,regular
248559557,ta,அண்ணா நகர்,name
248559557,wikidata,Q565956,regular
248559619,is_in,Anna Nagar West,regular
248559737,name,Padi,regular
248559737,is_in,Chennai,regular
248559737,place,suburb,regular
248559737,ta,பாடி,name
248559737,wikidata,Q4095781,regular
248559761,name,Villivakkam,regular
248559761,is_in,Chennai,regular
248559761,place,suburb,regular
248559761,ta,வில்லிவாக்கம்,name
248559761,wikidata,Q5147067,regular
248560756,name,ICF Colony,regular
248560756,is_in,Chennai,regular
248560756,place,suburb,regular
248560756,created_by,Potlatch 0.7b,regular
248560758,name,Perambur,regular
248560758,is_in,Chennai,regular
248560758,place,suburb,regular
248560758,ta,பெரம்பூர்,name
248560758,wikidata,Q3530475,regular
248560768,name,Sowcarpet,regular
248560768,is_in,Chennai,regular
248560768,place,neighbourhood,regular
248560768,ta,சௌகார்பேட்டை,name
248560768,wikidata,Q7571852,regular
248560791,name,Vallalar Nagar,regular
248560791,is_in,Chennai,regular
248560791,place,suburb,regular
248560791,ta,வள்ளலார் நகர்,name
248560791,wikidata,Q7911810,regular
248560797,name,Kasimedu,regular
248560797,place,neighbourhood,regular
248560797,ta,காசிமேடு,name
248643383,name,HDFC,regular
248643383,amenity,atm,regular
248643757,name,Alwarpet,regular
248643757,amenity,post_office,regular
248643757,postal_code,600018,regular
248643771,name,CP Arts Centre,regular
248643771,amenity,arts_centre,regular
248643771,created_by,Potlatch 0.7b,regular
248674729,created_by,JOSM,regular
248674731,created_by,JOSM,regular
248674742,created_by,JOSM,regular
248674753,created_by,JOSM,regular
248674759,created_by,JOSM,regular
248674763,created_by,JOSM,regular
248674765,created_by,JOSM,regular
248674773,created_by,JOSM,regular
248674777,created_by,JOSM,regular
248674821,highway,traffic_signals,regular
248680296,highway,traffic_signals,regular
248680302,created_by,JOSM,regular
248680309,created_by,JOSM,regular
248680311,created_by,JOSM,regular
248680314,created_by,JOSM,regular
248680316,created_by,JOSM,regular
248680321,created_by,JOSM,regular
248680323,created_by,JOSM,regular
248680325,created_by,JOSM,regular
248680338,ref,NBK,regular
248680338,name,Nungambakkam,regular
248680338,public_transport,stop_position,regular
248696991,created_by,JOSM,regular
248696992,created_by,JOSM,regular
248696993,created_by,JOSM,regular
248697006,created_by,JOSM,regular
248697007,created_by,JOSM,regular
248697008,created_by,JOSM,regular
248697009,created_by,JOSM,regular
248697010,created_by,JOSM,regular
248697011,created_by,JOSM,regular
248697012,created_by,JOSM,regular
248697013,created_by,JOSM,regular
248697014,created_by,JOSM,regular
248697015,created_by,JOSM,regular
248697016,created_by,JOSM,regular
248697017,created_by,JOSM,regular
248697018,created_by,JOSM,regular
248697020,created_by,JOSM,regular
248697021,created_by,JOSM,regular
248697046,created_by,JOSM,regular
248697047,created_by,JOSM,regular
248697048,created_by,JOSM,regular
248697049,created_by,JOSM,regular
248697051,created_by,JOSM,regular
248697053,created_by,JOSM,regular
248697062,created_by,JOSM,regular
248697063,created_by,JOSM,regular
248697064,created_by,JOSM,regular
248697065,created_by,JOSM,regular
248697066,created_by,JOSM,regular
248697067,created_by,JOSM,regular
248697068,created_by,JOSM,regular
248697069,created_by,JOSM,regular
248697070,created_by,JOSM,regular
248697071,created_by,JOSM,regular
248697088,created_by,JOSM,regular
248697094,created_by,JOSM,regular
248697100,created_by,JOSM,regular
248697106,created_by,JOSM,regular
248697111,created_by,JOSM,regular
248697116,created_by,JOSM,regular
248697122,created_by,JOSM,regular
248697127,created_by,JOSM,regular
248697134,created_by,JOSM,regular
248697144,created_by,JOSM,regular
248697150,created_by,JOSM,regular
248697156,created_by,JOSM,regular
248697161,created_by,JOSM,regular
248697172,created_by,JOSM,regular
248697178,created_by,JOSM,regular
248697312,highway,traffic_signals,regular
249110186,ref,KTBR,regular
249110186,name,Kasturibai Nagar,regular
249110186,ta,கஸ்தூரிபாய் நகர்,name
249110186,network,MRTS,regular
249110186,railway,station,regular
249110186,operator,Southern Railways,regular
249110189,ref,TYMR,regular
249110189,name,Thiruvanmiyur,regular
249110189,ta,திருவான்மியூர்,name
249110189,network,MRTS,regular
249110189,railway,station,regular
249110189,operator,Southern Railways,regular
249110189,wikidata,Q16956408,regular
249110189,wikipedia,en:Thiruvanmiyur railway station,regular
249112798,junction,yes,regular
249112805,traffic_calming,hump,regular
249112807,traffic_calming,hump,regular
249493598,created_by,JOSM,regular
249493600,highway,traffic_signals,regular
249493602,created_by,JOSM,regular
249493603,created_by,JOSM,regular
249493607,created_by,JOSM,regular
249493611,created_by,JOSM,regular
249493613,created_by,JOSM,regular
249493614,created_by,JOSM,regular
249493616,created_by,JOSM,regular
249493617,created_by,JOSM,regular
249493618,created_by,JOSM,regular
249497584,created_by,JOSM,regular
249497588,created_by,JOSM,regular
249497591,created_by,JOSM,regular
249497592,created_by,JOSM,regular
249497599,created_by,JOSM,regular
249497600,created_by,JOSM,regular
249497601,created_by,JOSM,regular
249497602,created_by,JOSM,regular
249497603,created_by,JOSM,regular
249497604,created_by,JOSM,regular
249497605,created_by,JOSM,regular
249497606,created_by,JOSM,regular
249497696,name,Malar Hospital,regular
249497696,highway,bus_stop,regular
249497704,name,Gandhinagar,regular
249497704,is_in,Chennai,regular
249497704,place,neighbourhood,regular
249497704,ta,காந்தி நகர்,name
249497705,key,600090,regular
249497705,name,Besant Nagar,regular
249497705,is_in,Chennai,regular
249497705,place,suburb,regular
249497705,ta,பெசன்ட் நகர்,name
249497705,wikidata,Q3535050,regular
249497705,wikipedia,en:Besant Nagar,regular
249497706,created_by,JOSM,regular
249497710,created_by,JOSM,regular
249497711,name,Adyar,regular
249497711,is_in,Chennai;Tamilnadu;TN;India;IN,regular
249497711,place,suburb,regular
249497711,ml,അഡയാര്‍,name
249497711,ta,அடையாறு,name
249497711,wikidata,Q380144,regular
249497711,wikipedia,"en:Adyar, Chennai",regular
249497711,postal_code,600020,regular
249497716,highway,traffic_signals,regular
249497722,created_by,JOSM,regular
249497723,name,Little Mount,regular
249497723,is_in,Chennai,regular
249497723,place,suburb,regular
249497729,name,Guindy,regular
249497729,is_in,Chennai,regular
249497729,place,suburb,regular
249497729,ta,கிண்டி,name
249497729,wikidata,Q5616433,regular
249497729,postal_code,600032,regular
249497808,name,Thiruvanmiyur,regular
249497808,is_in,Chennai,regular
249497808,place,suburb,regular
249497808,ta,திருவான்மியூர்,name
249497808,wikidata,Q4739849,regular
249497808,postal_code,600041,regular
249497865,created_by,JOSM,regular
249497866,created_by,JOSM,regular
249497867,created_by,JOSM,regular
249497868,created_by,JOSM,regular
249497870,name,Kotturpuram,regular
249497870,is_in,Chennai,regular
249497870,place,suburb,regular
249497870,ta,கோட்டூர்புரம்,name
249497870,wikidata,Q6434366,regular
249497870,postal_code,600085,regular
249497874,created_by,JOSM,regular
249497875,created_by,JOSM,regular
249497876,created_by,JOSM,regular
249497877,created_by,JOSM,regular
249497878,created_by,JOSM,regular
249497879,created_by,JOSM,regular
249497891,created_by,JOSM,regular
249497892,ref,mtcstop#1054,regular
249497892,name,Sathya Studio,regular
249497892,highway,bus_stop,regular
249497893,created_by,JOSM,regular
249797441,highway,traffic_signals,regular
249797465,highway,traffic_signals,regular
249797466,created_by,JOSM,regular
249797511,created_by,JOSM,regular
249797563,created_by,JOSM,regular
249797570,created_by,JOSM,regular
249797634,created_by,JOSM,regular
249797754,created_by,JOSM,regular
249797755,created_by,JOSM,regular
249797756,created_by,JOSM,regular
249797785,created_by,JOSM,regular
249797814,created_by,JOSM,regular
249798310,created_by,JOSM,regular
